Date,Time,Weekday_Name,Volume,Open,High,Low,Close
2/8/22,6:00:00,Tuesday,13658,1.1417,1.14236,1.13962,1.1406
2/8/22,10:00:00,Tuesday,16396,1.14058,1.14336,1.14002,1.1409
2/8/22,14:00:00,Tuesday,16481,1.1409,1.1424,1.14032,1.14208
2/8/22,18:00:00,Tuesday,5114,1.14206,1.1424,1.14016,1.1417
2/8/22,22:00:00,Tuesday,2317,1.14165,1.14235,1.14122,1.14232
2/9/22,2:00:00,Wednesday,2649,1.1423,1.14326,1.14218,1.14223
2/9/22,6:00:00,Wednesday,9083,1.14222,1.14279,1.14026,1.14267
2/9/22,10:00:00,Wednesday,12926,1.14266,1.1446,1.14234,1.14356
2/9/22,14:00:00,Wednesday,17129,1.14354,1.14478,1.14256,1.14376
2/9/22,18:00:00,Wednesday,5275,1.14374,1.14414,1.14201,1.14233
2/9/22,22:00:00,Wednesday,2717,1.1425,1.1428,1.14132,1.14194
2/10/22,2:00:00,Thursday,2749,1.14196,1.14315,1.1418,1.14259
2/10/22,6:00:00,Thursday,10057,1.14261,1.14464,1.14196,1.14436
2/10/22,10:00:00,Thursday,20492,1.14434,1.14456,1.1382,1.14084
2/10/22,14:00:00,Thursday,45680,1.14082,1.1495,1.13749,1.14648
2/10/22,18:00:00,Thursday,16736,1.14646,1.14752,1.1407,1.1428
2/10/22,22:00:00,Thursday,6735,1.14296,1.14315,1.13856,1.14025
2/11/22,2:00:00,Friday,4548,1.14026,1.1407,1.13748,1.13866
2/11/22,6:00:00,Friday,17315,1.13867,1.1398,1.137,1.13863
2/11/22,10:00:00,Friday,15858,1.13862,1.14183,1.13839,1.13908
2/11/22,14:00:00,Friday,24526,1.13906,1.14083,1.138,1.13967
2/11/22,18:00:00,Friday,43281,1.13966,1.13994,1.13298,1.13472
2/13/22,22:00:00,Sunday,18873,1.13403,1.13692,1.13392,1.13536
2/14/22,2:00:00,Monday,14712,1.13536,1.13538,1.13406,1.13516
2/14/22,6:00:00,Monday,37616,1.13516,1.13522,1.13038,1.13122
2/14/22,10:00:00,Monday,49427,1.13122,1.13426,1.13008,1.13152
2/14/22,14:00:00,Monday,52445,1.1315,1.13212,1.12916,1.13106
2/14/22,18:00:00,Monday,34469,1.13104,1.13144,1.12801,1.13064
2/14/22,22:00:00,Monday,7688,1.13064,1.13146,1.13011,1.13106
2/15/22,2:00:00,Tuesday,13201,1.13106,1.13226,1.13091,1.13175
2/15/22,6:00:00,Tuesday,36890,1.13174,1.13504,1.13095,1.13462
2/15/22,10:00:00,Tuesday,36320,1.13462,1.136,1.13366,1.1356
2/15/22,14:00:00,Tuesday,42569,1.13558,1.13684,1.13202,1.13588
2/15/22,18:00:00,Tuesday,11357,1.13588,1.13644,1.13546,1.13586
2/15/22,22:00:00,Tuesday,6075,1.1358,1.13622,1.13487,1.13521
2/16/22,2:00:00,Wednesday,7719,1.13521,1.13556,1.1345,1.1354
2/16/22,6:00:00,Wednesday,27161,1.13539,1.13954,1.13534,1.13776
2/16/22,10:00:00,Wednesday,33418,1.13774,1.13884,1.13548,1.13631
2/16/22,14:00:00,Wednesday,33887,1.1363,1.13828,1.13532,1.13742
2/16/22,18:00:00,Wednesday,26926,1.13744,1.1396,1.13712,1.13736
2/16/22,22:00:00,Wednesday,9365,1.13736,1.1385,1.13673,1.13818
2/17/22,2:00:00,Thursday,35305,1.13818,1.1385,1.13232,1.13564
2/17/22,6:00:00,Thursday,48292,1.13566,1.13863,1.13428,1.13614
2/17/22,10:00:00,Thursday,33519,1.13614,1.13795,1.13517,1.13595
